id,title,description,duration_mins,language,release_date,country,genre
1,The Nun II,"1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun.",110,English,07/09/2023,United States,Thriller
2,Five Nights at Freddy's,"Can you survive five nights? The terrifying horror game phenomenon becomes a blood-chilling cinematic event, as Blumhouse— the producer of M3GAN, The Black Phone and The Invisible Man— brings Five Nights at Freddy's to the big screen. The film follows a troubled security guard as he begins working at Freddy Fazbear's Pizza. While spending his first night on the job, he realizes the night shift at Freddy's won't be so easy to make it through.",109,English,26/10/2023,United States,Horror
3,Killers of the Flower Moon,"Additional language: Sioux Based on David Grann's broadly lauded best-selling book, Killers of the Flower Moon is set in 1920s Oklahoma and depicts the serial murder of members of the oil-wealthy Osage Nation, a string of brutal crimes that came to be known as the Reign of Terror.",206,English,19/10/2023,Australia,Crime
4,Uproar,"UPROAR is a moving and heartwarming comedy about connection and finding your place in the world. 17-year-old Josh Waaka (Julian Dennison) is growing up in New Zealand in 1981. The rugby-obsessed country is divided over the arrival of the South African Springboks team, sparking nationwide protests. Josh, who has never felt like he fits in anywhere, is inspired by the protests and by a newfound passion for performing to find his own voice. After embracing his community and his Māori heritage, Josh and his family set out on a journey towards healing.",110,English,05/10/2023,United Kingdom,Comedy
5,The Eras Tour,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour. Taylor Swift Eras attire and friendship bracelets are strongly encouraged!",168,English,13/10/2023,New Zealand,Concert
6,Oppenheimer,"Written and directed by Christopher Nolan, Oppenheimer is an IMAX®-shot epic thriller that thrusts audiences into the pulse-pounding paradox of the enigmatic man who must risk destroying the world in order to save it. The film stars Cillian Murphy as J. Robert Oppenheimer and Emily Blunt as his wife, biologist and botanist Katherine Kitty Oppenheimer. Oscar® winner Matt Damon portrays General Leslie Groves Jr., director of the Manhattan Project, and Robert Downey, Jr. plays Lewis Strauss, a founding commissioner of the U.S. Atomic Energy Commission. Academy Award® nominee Florence Pugh plays psychiatrist Jean Tatlock, Benny Safdie plays theoretical physicist Edward Teller, Michael Angarano plays Robert Serber and Josh Hartnett plays pioneering American nuclear scientist Ernest Lawrence. Oppenheimer also stars Oscar® winner Rami Malek and reunites Nolan with eight-time Oscar® nominated actor, writer and filmmaker Kenneth Branagh.",180,English,20/07/2023,New Zealand,Biography
7,Saw X,"John Kramer (Tobin Bell) is back. The most disturbing installment of the Saw franchise yet explores the untold chapter of Jigsaw's most personal game. Set between the events of Saw I and II, a sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer - only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",118,English,28/09/2023,United States,Horror
8,The Creator,"From director/co-writer Gareth Edwards (Rogue One, Godzilla) comes an epic sci-fi action thriller set amidst a future war between the human race and the forces of artificial intelligence. Joshua (John David Washington), a hardened ex-special forces agent grieving the disappearance of his wife (Gemma Chan), is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war…and mankind itself. Joshua and his team of elite operatives journey across enemy lines, into the dark heart of AI-occupied territory, only to discover the world-ending weapon he's been instructed to destroy is an AI in the form of a young child (Madeleine Yuma Voyles).",133,English,28/09/2023,United States,Action
